nombre,duracion_min,alias
Lavar y peinar,30,lavado,lavar,marcar,peinar
Lavar y peinar con plancha,45,plancha,tenacillas
Corte,45,corte de pelo,cortar,cortarme el pelo,puntas,corte mujer
Corte de flequillo,15,flequillo,repaso de puntas
Corte caballero,30,corte de hombre,corte hombre,corte chico
Corte caballero y barba,45,corte y barba
Arreglo de barba,20,barba,perfilar barba
Corte niño,30,corte niños,niño,niña,corte niña
Retoque de raíz,90,raiz,raices,canas,retoque de color
Color completo,120,tinte,teñir,color,cambio de color
Matiz,45,toner,matizar
Baño de color,60,semipermanente,color sin amoniaco
Mechas medio casco,150,mechas,mechitas,medio casco
Mechas casco completo,180,casco completo,mechas completas
Balayage,180,babylights,californianas,mechas californianas
Decoloración,210,decolorar,rubio platino,aclarar el pelo
Hidratación profunda,45,hidratacion,mascarilla,tratamiento
Botox capilar,75,botox
Alisado de keratina,150,keratina,alisado,alisar el pelo
Sesión anticaída,30,anticaida,caida del pelo,tratamiento anticaida
Permanente,120,rizar el pelo,ondas permanentes
Peinado de fiesta,45,peinado,ondas,peinado de invitada
Recogido,60,moño,recogido elaborado
Novia - prueba,60,prueba de novia
Novia - dia de la boda,90,novia,boda,peinado de novia
